url,title,price,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/683656844,"3-комнатная квартира · 120 м², Сыганак — Кабанбай батыра",55000000〒,несколько балконов или лоджий,,"домофон, видеонаблюдение",нет,Да,,2006,"Астана, Есильский р-н",бронированная,7 Бочек,ADSL,полностью,,120 м²,ламинат,2 с/у и более,свежий ремонт,нет,,
https://krisha.kz/a/show/1010380882,"2-комнатная квартира · 64.5 м² · 9/9 этаж, Толе би 25",45500000〒,балкон,,,нет,Нет,3 м,2022,"Астана, Нура р-н",металлическая,Dastur,проводной,полностью,,"64.5 м², Площадь кухни — 10.8 м²",ламинат,совмещенный,,,кирпичный,9 из 9
https://krisha.kz/a/show/1010251370,"2-комнатная квартира · 64.37 м² · 10/12 этаж, Чингиз Айтматов 77/11 — Мечеть Ырыскелді Кажы",32800000〒,лоджия,,"домофон, кодовый замок, видеодомофон",нет,Нет,3 м,2026,"Астана, Сарыарка р-н",,Shalqar,,,паркинг,"64.37 м², Площадь кухни — 13.3 м²",,совмещенный,черновая отделка,,кирпичный,10 из 12
https://krisha.kz/a/show/1010195327,"3-комнатная квартира · 115 м², Ивана Панфилова 85",75000000〒,,,,нет,Нет,3.2 м,2026,"Астана, Сарайшык р-н",,TANSU,,,паркинг,115 м²,,,,,кирпичный,6
https://krisha.kz/a/show/1009176178,"2-комнатная квартира · 52 м² · 8/12 этаж, Кубрина 20/1",25000000〒,балкон,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2009,"Астана, Сарыарка р-н",,Сайран,оптика,полностью,,"52 м², Площадь кухни — 8.3 м²",паркет,совмещенный,свежий ремонт,,кирпичный,8 из 12
https://krisha.kz/a/show/1008941883,"1-комнатная квартира · 38 м² · 7/10 этаж, Карталинская 29/1",13800000〒,,,,нет,Нет,2.85 м,2026,"Астана, Сарыарка р-н",,ЛЕЯ-Уют,,,паркинг,38 м²,,,,,монолитный,7 из 10
https://krisha.kz/a/show/1007604244,"3-комнатная квартира · 96.11 м² · 12/12 этаж, Калдаяков",40366200〒,,,,нет,Нет,3 м,2026,"Астана, Сарайшык р-н",,,,,,96.11 м²,,,,,кирпичный,12 из 12
https://krisha.kz/a/show/1006792530,"1-комнатная квартира · 34 м² · 9/10 этаж, Мустафина 21/5",19500000〒,балкон,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2008,"Астана, Алматы р-н",металлическая,Достар-2,проводной,полностью,,34 м²,ламинат,совмещенный,"не новый, но аккуратный ремонт",,кирпичный,9 из 10
https://krisha.kz/a/show/1006435460,"2-комнатная квартира · 48.8 м² · 9 этаж, Улы Дала 61 — Улы Дала Жошы Хан",34999999〒,,,,нет,Нет,2.7 м,2019,"Астана, Есильский р-н",,Alan,,полностью,,48.8 м²,,,,,монолитный,9
https://krisha.kz/a/show/1004570435,"2-комнатная квартира · 60.2 м² · 1/12 этаж, Ул.Жошы хан 13 — Бокейхана-Бухар Жырау",41000000〒,балкон,,"домофон, видеонаблюдение, видеодомофон",нет,Нет,3 м,2024,"Астана, Есильский р-н",металлическая,Vienna,проводной,полностью,паркинг,"60.2 м², Площадь кухни — 15 м²",плитка,совмещенный,,,,1 из 12
https://krisha.kz/a/show/683962805,"1-комнатная квартира · 38.8 м², Е-36 5",от 25996000〒,,,,,,3 м,2026,"Астана, Нура р-н",,Respublika,,,,38.8 м²,,совмещенный,,,монолитный,
https://krisha.kz/a/show/1010845980,"1-комнатная квартира · 45 м² · 4/12 этаж, Махтумкули 31 — Жк Талтерек",22500000〒,,,,,Нет,2.8 м,2020,"Астана, Алматы р-н",,,,,,"45 м², Площадь кухни — 12 м²",,,,,панельный,4 из 12
https://krisha.kz/a/show/1010463237,"2-комнатная квартира · 40 м² · 10/12 этаж, Бейбарыс Султан — Парк Коктал, школа 106",24500000〒,,,,нет,Нет,2.7 м,2023,"Астана, Сарыарка р-н",,Rio de Janeiro,,,,40 м²,,,,,кирпичный,10 из 12
https://krisha.kz/a/show/1010434532,"1-комнатная квартира · 37 м² · 8/12 этаж, Байтурсынова 30/1",30000000〒,балкон,,"охрана, домофон, кодовый замок, видеонаблюдение",нет,Нет,3 м,2025,"Астана, Алматы р-н",,BILIM II,ADSL,полностью,паркинг,"37 м², Площадь кухни — 8 м²",ламинат,совмещенный,свежий ремонт,,кирпичный,8 из 12
https://krisha.kz/a/show/1009169470,"1-комнатная квартира · 37.2 м² · 3/9 этаж, Тынышбайулы 10 — Нажмиденова",20950000〒,лоджия,,,нет,Нет,3 м,2025,"Астана, Сарайшык р-н",,Ansau,,,паркинг,"37.2 м², Площадь кухни — 10 м²",,,,,кирпичный,3 из 9
https://krisha.kz/a/show/1006521696,"1-комнатная квартира · 40 м² · 2/9 этаж, Жошы хан 27 — Сфера Парк",31800000〒,лоджия,,,нет,Нет,3 м,2022,"Астана, Есильский р-н",,Prime Garden,,полностью,паркинг,"40 м², Площадь кухни — 10.4 м²",ламинат,совмещенный,,,кирпичный,2 из 9
https://krisha.kz/a/show/1003510630,"2-комнатная квартира · 62.8 м² · 4/9 этаж, Ш.Калдаякова 32 — С.Нурмагамбетова",29800000〒,балкон,,"домофон, кодовый замок, видеодомофон",нет,Нет,3.2 м,2025,"Астана, Алматы р-н",металлическая,Green House Premium,,без мебели,паркинг,62.8 м²,,2 с/у и более,,,кирпичный,4 из 9
https://krisha.kz/a/show/1000519286,"3-комнатная квартира · 59 м² · 5/5 этаж, Гёте — ЖД вокзал",19500000〒,балкон,,"домофон, видеонаблюдение",нет,Нет,2.5 м,1967,"Астана, Сарыарка р-н",бронированная,,ADSL,частично,,"59 м², Площадь кухни — 6 м²",ламинат,совмещенный,свежий ремонт,есть возможность подключения,панельный,5 из 5
https://krisha.kz/a/show/1010411727,"2-комнатная квартира · 52.2 м², Сыганак 26/2",от 36016000〒,,,,,,3 м,2025,"Астана, Нура р-н",,Respublika Towers,,,,52.2 м²,,совмещенный,,,монолитный,
https://krisha.kz/a/show/1004699342,"3-комнатная квартира · 68.55 м², Е 908 23",от 43255050〒,,,,,,2.7 м,2026,"Астана, Нура р-н",,UIA.BIRLIK,,,,68.55 м²,,совмещенный,,,монолитный,
https://krisha.kz/a/show/1010181005,"4-комнатная квартира · 113.61 м², Кенесары 54",от 64752000〒,,,,,,3 м,2026,"Астана, р-н Байконур",,DARMEN,,,,113.61 м²,,,,,монолитный,
https://krisha.kz/a/show/1010179161,"3-комнатная квартира · 68.7 м², Кенесары 54",от 49216617〒,,,,,,3 м,2026,"Астана, р-н Байконур",,DARMEN,,,,68.7 м²,,,,,монолитный,
https://krisha.kz/a/show/1007148141,"1-комнатная квартира · 38.93 м², Бердибек Сокпакбаев 6",от 17907800〒,,,,,,3 м,2022,"Астана, Сарыарка р-н",,Aibar,,,,38.93 м²,,совмещенный,,,кирпичный,
https://krisha.kz/a/show/1003510630,"2-комнатная квартира · 62.8 м² · 4/9 этаж, Ш.Калдаякова 32 — С.Нурмагамбетова",29800000〒,балкон,,"домофон, кодовый замок, видеодомофон",нет,Нет,3.2 м,2025,"Астана, Алматы р-н",металлическая,Green House Premium,,без мебели,паркинг,62.8 м²,,2 с/у и более,,,кирпичный,4 из 9
